lepirudin,zidovudine,oxymetazoline,almitrine,indacaterol,rivaroxaban,loxoprofen,gemcitabine,106
cetuximab,darifenacin,diethylpropion,allylestrenol,rp101,avanafil,dexibuprofen,entecavir,polar
etanercept,oxycodone,salmeterol,cholestyramine,tm30338,eflornithine,dexketoprofen,betamethasone,patient-month
bivalirudin,phenindione,methantheline,19-norandrostenedione,cx717,hexaminolevulinate,droxicam,teniposide,fsca
leuprolide,flutamide,zalcitabine,antipyrine,ddp733,droxidopa,firocoxib,epirubicin,fk506
alteplase,tolmetin,demecarium,alfacalcidol,bzl101,amrubicin,clonixin,chloramphenicol,rhg-csf
urokinase,cimetidine,phenprocoumon,glutethimide,mf101,udenafil,nicorandil,loracarbef,arb
goserelin,haloperidol,fulvestrant,phenazopyridine,an0128,sitaxentan,polaprezinc,lansoprazole,depot
reteplase,ritonavir,mezlocillin,"5-methoxy-n,n-diisopropyltryptamine",erdosteine,sulodexide,blonanserin,dipivefrin,hydroxylase
erythropoietin,levallorphan,felbamate,mmda,ily101,tocilizumab,melperone,droperidol,clindamycin/benzoyl
pegfilgrastim,tridihexethyl,fexofenadine,alpha-methyltryptamine,r1626,alvimopan,zotepine,levothyroxine,levo-isomer
sargramostim,nitazoxanide,isoniazid,heroin,gft14,levocetirizine,barnidipine,framycetin,ly404039
secretin,triflupromazine,naratriptan,"3,4-methylenedioxymethamphetamine",mitoquinone,ziconotide,aranidipine,clomocycline,p=002
asparaginase,dextrothyroxine,rizatriptan,5-androstenedione,incb13739,teriparatide,azelnidipine,pethidine,hero-1
anakinra,acetyldigitoxin,dirithromycin,bezitramide,phx1149,temsirolimus,benidipine,loratadine,opc-21268
anistreplase,vancomycin,netilmicin,fencamfamine,av411,amisulpride,cilnidipine,cefalotin,antiplatelet
tenecteplase,dextromethorphan,hydrocodone,ethylmorphine,atg002,simeprevir,darodipine,prazosin,relieved
menotropins,cisplatin,norgestimate,delta1-dihydrotestosterone,adx10059,dapagliflozin,efonidipine,imipramine,habit-forming
desmopressin,bentoquatam,carboplatin,barbital,av608,elotuzumab,lacidipine,acitretin,5500
oprelvekin,albendazole,methylprednisolone,4-hydroxytestosterone,srt501,saxagliptin,levamlodipine,verteporfin,223
palifermin,trandolapril,pindolol,cathine,tg100801,pertuzumab,manidipine,nabumetone,ssri
